 # Pressure Initial   1.6052041603631845E+031
 # 
 #  Radius              Mass                  Rho                   Pressure 
  #-------------------------------------
  6.750000000000000E+04   2.055586672796030E+28   1.592750291664577E+13   1.597037670987344E+31
  6.800000000000000E+04   2.101520591011086E+28   1.592643051228831E+13   1.596916869178683E+31
  6.850000000000000E+04   2.148131849281505E+28   1.592535030976906E+13   1.596795188940126E+31
  6.900000000000000E+04   2.195425335407145E+28   1.592426231054541E+13   1.596672630435842E+31
  6.950000000000000E+04   2.243405935165942E+28   1.592316651826249E+13   1.596549194076439E+31
  7.000000000000000E+04   2.292078532304095E+28   1.592206293660674E+13   1.596424880277179E+31
  7.050000000000000E+04   2.341448008519854E+28   1.592095156708177E+13   1.596299689207437E+31
  7.100000000000000E+04   2.391519243445941E+28   1.591983241230575E+13   1.596173621162139E+31
  7.150000000000000E+04   2.442297114637597E+28   1.591870547491484E+13   1.596046676438236E+31
  7.200000000000000E+04   2.493786497557205E+28   1.591757075680704E+13   1.595918855249532E+31
  7.250000000000000E+04   2.545992265561353E+28   1.591642826178739E+13   1.595790158024647E+31
  7.300000000000000E+04   2.598919289890446E+28   1.591527799216388E+13   1.595660585023567E+31
  7.350000000000000E+04   2.652572439644553E+28   1.591411994949093E+13   1.595530136421392E+31
  7.400000000000000E+04   2.706956581779438E+28   1.591295413841971E+13   1.595398812742054E+31
  7.450000000000000E+04   2.762076581090006E+28   1.591178056092226E+13   1.595266614207696E+31
  7.500000000000000E+04   2.817937300192222E+28   1.591059921897303E+13   1.595133541040732E+31
  7.550000000000000E+04   2.874543599513117E+28   1.590941011732337E+13   1.594999593776380E+31
  7.600000000000000E+04   2.931900337279613E+28   1.590821325798594E+13   1.594864772641360E+31
  7.650000000000000E+04   2.990012369493173E+28   1.590700864217842E+13   1.594729077772836E+31
  7.700000000000000E+04   3.048884549925685E+28   1.590579627433140E+13   1.594592509669897E+31
  7.750000000000000E+04   3.108521730102619E+28   1.590457615689561E+13   1.594455068608607E+31
  7.800000000000000E+04   3.168928759289006E+28   1.590334829232929E+13   1.594316754865875E+31
  7.850000000000000E+04   3.230110484475527E+28   1.590211268516295E+13   1.594177568952046E+31
  7.900000000000000E+04   3.292071750366054E+28   1.590086933624361E+13   1.594037510962532E+31
  7.950000000000000E+04   3.354817399355699E+28   1.589961824764934E+13   1.593896581131418E+31
  8.000000000000000E+04   3.418352271529769E+28   1.589835942649308E+13   1.593754780259948E+31
  8.050000000000000E+04   3.482681204646823E+28   1.589709287280784E+13   1.593612108351840E+31
  8.100000000000000E+04   3.547809034112906E+28   1.589581858914028E+13   1.593468565693963E+31
  8.150000000000000E+04   3.613740592975938E+28   1.589453657932977E+13   1.593324152718808E+31
  8.200000000000000E+04   3.680480711920736E+28   1.589324684724073E+13   1.593178869861685E+31
  8.250000000000000E+04   3.748034219237438E+28   1.589194939375409E+13   1.593032717221825E+31
  8.300000000000000E+04   3.816405940818308E+28   1.589064422363943E+13   1.592885695336504E+31
  8.350000000000000E+04   3.885600700145813E+28   1.588933133908777E+13   1.592737804452530E+31
  8.400000000000000E+04   3.955623318275255E+28   1.588801074537597E+13   1.592589045164318E+31
  8.450000000000000E+04   4.026478613822834E+28   1.588668244385276E+13   1.592439417623797E+31
  8.500000000000000E+04   4.098171402942029E+28   1.588534643630016E+13   1.592288922031705E+31
  8.550000000000000E+04   4.170706499321520E+28   1.588400272717552E+13   1.592137558890143E+31
  8.600000000000000E+04   4.244088714165419E+28   1.588265131963250E+13   1.591985328554356E+31
  8.650000000000000E+04   4.318322856185772E+28   1.588129221774534E+13   1.591832231483294E+31
  8.700000000000000E+04   4.393413731584697E+28   1.587992542379962E+13   1.591678267934413E+31
